product_title,sustainability_grade
Disposable Plastic Tablecloth - Single Use Party Decor,D
Synthetic Fill Comforter - Chemical Treated Bedding,D
Plastic Disposable Containers - Single Use Storage,D
Synthetic Fabric Softener - Chemical Laundry Treatment,D
Plastic Disposable Gloves - Single Use Protection 100 Pack,D
Synthetic Air Freshener - Chemical Room Spray,D
Disposable Aluminum Pans - Single Use Cooking,D
Plastic Disposable Water Bottles - Single Use 24 Pack,D
Synthetic Rubber Gloves - Chemical Resistant Disposable,D
Plastic Foam Containers - Single Use Food Storage,D
Disposable Plastic Straws - Single Use Drinking 200 Pack,D
Synthetic Carpet Cleaner - Chemical Treatment Spray,D
Plastic Disposable Plates - Single Use Picnic Ware,D
Toxic Paint Remover - Harmful Chemical Stripper with Benzene,E
Non-Recyclable Foam Packaging - Wasteful Shipping Polystyrene,E
Planned Obsolescence Smartphone - 6 Month Lifespan Design,E
Excessive Plastic Packaging Toy - Triple Wrapped Wasteful,E
Chemical Pesticide Spray - Harmful Garden Treatment with Toxins,E
Non-Biodegradable Glitter - Environmental Pollutant Microplastic,E
Single Use Plastic Straws - Ocean Polluting Drinking 500 Pack,E
Toxic Nail Polish - Harmful Chemical Beauty with Formaldehyde,E
Fast Fashion Polyester Shirt - Polluting Sweatshop Clothing,E
Disposable Electronic Vape - Wasteful Lithium Battery Device,E
Lead Paint - Toxic Home Decoration with Heavy Metals,E
Mercury Thermometer - Harmful Medical Device,E
Asbestos Insulation - Dangerous Building Material,E
Chemical Drain Cleaner - Toxic Pipe Treatment with Acids,E
Non-Recyclable Electronics - Planned Obsolescence Tablet,E
Toxic Cleaning Spray - Harmful Household Chemical with VOCs,E
Single Use Plastic Bags - Ocean Destroying Shopping 1000 Pack,E
Chemical Fertilizer - Harmful Synthetic Lawn Treatment,E
Disposable Fashion Jewelry - Toxic Metal Costume Accessories,E
Wasteful Packaging Product - 10x Oversized Box for Small Item,E
Toxic Pesticide - Harmful Chemical Insect Killer,E
Non-Biodegradable Foam Cups - Ocean Polluting Disposable,E
Chemical Hair Dye - Toxic Beauty Product with Ammonia,E
Planned Obsolescence Headphones - 3 Month Lifespan Design,E
Excessive Plastic Toy Packaging - Wasteful Triple Wrapping,E
